coffee_town,cups_of_coffee,age,job,smoke
1,0,12.120638567773003,none,never
0,0,14.550929972666246,none,never
1,0,11.493114162769858,none,never
0,1,18.785842406413373,easy,never
0,0,14.98852331544608,none,never
1,0,11.538594847645953,none,never
1,0,15.462287157285456,none,never
1,0,16.21497411538765,easy,never
1,0,15.727344054960477,none,never
0,0,13.083834838530931,none,never
0,1,18.535343505352543,easy,never
1,0,15.169529709234293,none,never
1,0,12.136278258374588,none,never
1,0,7.3559003384675,none,never
0,0,17.374792754429325,easy,never
0,0,13.865199172954307,none,never
1,0,13.951429210703163,none,never
1,0,16.831508632055897,easy,never
0,0,16.463663585294267,easy,never
0,0,15.781703963652527,none,never
0,0,16.756932114824654,easy,never
0,0,16.3464089021932,easy,never
0,0,14.223694950095572,none,never
0,0,8.031944912409882,none,never
0,0,15.85947724368413,none,never
0,0,13.831613781412997,none,never
1,0,13.532613479884013,none,never
1,0,9.587742848302177,none,never
1,0,12.565549834674139,none,never
1,0,15.253824680599108,none,never
1,0,18.07603865458713,hard,never
1,0,13.691636817971013,none,never
0,0,15.163014834678108,none,never
1,0,13.838584878251284,none,never
0,0,9.86882132951418,none,never
0,0,12.755016310100961,none,never
1,0,12.817130138868952,none,never
0,0,13.822059809866444,none,never
0,0,17.300076115951647,easy,never
0,0,16.289527245372632,hard,never
1,0,13.50642921123924,none,never
0,0,13.239914959590477,none,never
0,0,16.090890126214212,easy,never
0,0,15.669989596020972,none,never
1,0,11.93373291635144,none,never
1,0,11.877514529113641,none,never
1,0,15.093745886410492,none,never
0,0,16.305598773546247,easy,never
1,0,13.662961363549316,none,never
1,0,16.643323179362646,hard,never
0,0,15.194317641101204,none,never
0,0,12.163920820247686,none,never
0,0,15.023359074273275,none,never
1,0,10.611910711757623,none,never
0,1,18.29907110510311,easy,never
0,1,19.94119969551758,easy,never
0,0,12.898335570600473,none,never
1,0,10.867596121050408,none,never
1,0,15.70915888232724,none,never
0,0,13.594836188357528,none,never
0,1,21.20485328151433,hard,never
1,0,13.882279991800493,none,never
1,0,16.06921808735233,easy,never
1,0,14.084006476341997,none,never
1,0,11.770180373352783,none,never
1,0,14.566376898543028,none,never
1,0,8.585124113326888,none,never
0,1,18.396664584688658,hard,never
1,0,14.459760014635693,none,never
0,1,20.517835011086458,none,never
1,0,15.426528586698987,none,never
1,0,11.870160707234557,none,never
0,0,15.832179060467165,none,never
